WKT,id_techo,publico_pr,edificio,tipo_cubie,superficie,proyecto,calle,calle_nro,direccion_,barrio,comuna,fecha_inst
"POINT (-58.3769377506221 -34.5930608985007)","1",Público,Escuela N 6 D.E. 1  French y Berutti,Cubierta Verde Extensiva,"240",Arq. Hugo Gilardi,BASAVILBASO,"1295",BASAVILBASO 1295,Retiro,Comuna 1,"2011"
"POINT (-58.4220733202293 -34.5872710330921)","2",Público,Escuela Media Número 7 María Claudia Falcone,Cubierta Verde Extensiva,"0",,MALABIA,"2148",MALABIA 2148,Palermo,Comuna 14,"2013"
"POINT (-58.4484452824777 -34.6600781847741)","3",Público,Escuela Media Número 7 D.E.19  JUAN XXIII,Cubierta Verde Extensiva,"0",,"ACOSTA, MARIANO","2936","ACOSTA, MARIANO 2936",Villa Soldati,Comuna 8,"2013"
"POINT (-58.4702298078936 -34.5656457040966)","4",Público,"Escuela Infantil Número 6, Madre Eufrasia Laconis",Cubierta Verde Extensiva,"0",Arq. Maria Jose leveratto,BLANCO ENCALADA,"3479",BLANCO ENCALADA 3479,Belgrano,Comuna 13,"2013"
"POINT (-58.3924610480937 -34.5831159472187)","5",Público,"Facultad de Derecho, UBA",Cubierta Verde Extensiva,"406",,"FIGUEROA ALCORTA, PRES. AV.","2263","FIGUEROA ALCORTA, PRES. AV. 2263",Recoleta,Comuna 2,"2013"
"POINT (-58.4369206037304 -34.6058883389957)","6",Público,"Anfiteatro Eva Perón, Parque Centenario.",Cubierta Verde Extensiva,"0",,PATRICIAS ARGENTINAS AV.,"0",PATRICIAS ARGENTINAS AV. y LILLO AV.,Caballito,Comuna 6,"2011"
"POINT (-58.4629441517691 -34.5344405713501)","7",Público,Centro Verde Nuñez,Cubierta Verde Extensiva,"2500",Conquista del Desierto Urbano,"CANTILO, INT.","0","CANTILO, INT. y PAZ, GRAL. AV.",Nuez,Comuna 13,"2012"
"POINT (-58.3990016719647 -34.5966099195619)","8",Público,Centro de Gestión y Participación Comunal  N 2,Extensiva modular,"32",,"URIBURU JOSE E., PRES.","1022","URIBURU JOSE E., PRES. 1022",Recoleta,Comuna 2,"2009"
"POINT (-58.3849607618696 -34.6225226688241)","9",Público,Dirección General de Estadística y Censos,Cubierta Verde Extensiva,"213",Proyecto Janus,SAN JUAN AV.,"1340",SAN JUAN AV. 1340,Constitución,Comuna 1,"2014"
"POINT (-58.3774216049876 -34.6141697497875)","10",Público,Defensoría del Pueblo,Terraza Verde Arriba,"30",Verdes Aires,REPUBLICA BOLIVARIANA DE VENEZUELA,"800",REPUBLICA BOLIVARIANA DE VENEZUELA 800,Monserrat,Comuna 1,"2011"
"POINT (-58.3754825282607 -34.6094157683556)","11",Público,Anexo Legislatura Porteña,Extensiva modular,"80",Verdes Aires,"YRIGOYEN, HIPOLITO","642","YRIGOYEN, HIPOLITO 642",Monserrat,Comuna 1,"2014"
"POINT (-58.3739251085153 -34.6083577740202)","12",Público,Secretaría de Gestión Comunal y Atención Ciudadana,Extensiva modular,"10",Balkro,DE MAYO AV.,"525",DE MAYO AV. 525,Monserrat,Comuna 1,"2012"
"POINT (-58.4840607247559 -34.5464694333499)","13",Privado,Vivienda,Terraza ajardinada,"60",Proyecto Janus y Estudio Aisenson,SUPERI,"4600",SUPERI 4600,Saavedra,Comuna 12,"2011"
"POINT (-58.4164839989296 -34.6340527213062)","14",Privado,Vivienda,Terraza ajardinada,"59",Gilardi / Rautenstrauch,COLOMBRES,"1700",COLOMBRES 1700,Boedo,Comuna 5,"2011"
"POINT (-58.3700035417098 -34.603172908542)","15",Privado,Edificio Corporativo Allianz,Techo Verde sustentable,"360",60.40 Terraza Jardin,CORRIENTES AV.,"200",CORRIENTES AV. 200,San Nicolás,Comuna 1,"2011"
"POINT (-58.3930775698706 -34.6152035499605)","16",Privado,Vivienda,Terraza ajardinada,"80",Verdes Aires,REPUBLICA BOLIVARIANA DE VENEZUELA,"1900",REPUBLICA BOLIVARIANA DE VENEZUELA 1900,Balvanera,Comuna 3,"2011"
"POINT (-58.3930775698706 -34.6152035499605)","17",Privado,Vivienda,Techo Verde sustentable,"60",GRA,REPUBLICA BOLIVARIANA DE VENEZUELA,"1900",REPUBLICA BOLIVARIANA DE VENEZUELA 1900,Balvanera,Comuna 3,"2011"
"POINT (-58.4205375807588 -34.6008873187478)","18",Privado,Vivienda,Terraza Verde Arriba,"70",Grupo Landscape - Cora Burgin,GUARDIA VIEJA,"4000",GUARDIA VIEJA 4000,Almagro,Comuna 5,"2010"
"POINT (-58.4413169032926 -34.6274453444023)","19",Privado,Vivienda,Terraza Verde Arriba,"40",Grupo Landscape - Cora Burgin,LA NAVE,"1000",LA NAVE 1000,Caballito,Comuna 6,"2011"
"POINT (-58.4244325757491 -34.6061410434503)","20",Privado,Edificio Tempora,Terraza Verde Arriba,"160",GRUPO LANDCAPE - CORA BURGIN,"PERON, JUAN DOMINGO, TTE. GENERAL","4100","PERON, JUAN DOMINGO, TTE. GENERAL 4100",Almagro,Comuna 5,"2012"
"POINT (-58.3774579238551 -34.5926924877664)","21",Privado,Vivienda,Cubierta Verde Extensiva,"80",JANUS,JUNCAL,"721",JUNCAL 721,Retiro,Comuna 1,"2004"
"POINT (-58.492170731994 -34.571124858946)","24",Privado,Vivienda,Extensiva modular,"16",,BUCARELLI,"2977",BUCARELLI 2977,Villa Urquiza,Comuna 12,"2011"
"POINT (-58.4693190161864 -34.563167936031)","25",Privado,Vivienda,Extensiva modular,"30",,CONDE,"2535",CONDE 2535,Coghlan,Comuna 12,"2011"
"POINT (-58.4204960298857 -34.6014196832464)","26",Privado,Vivienda,Extensiva modular,"20",,MEDRANO AV.,"741",MEDRANO AV. 741,Almagro,Comuna 5,"2011"
"POINT (-58.4811066541926 -34.5739685190651)","27",Privado,Vivienda,Extensiva modular,"30",,OLAZABAL AV.,"4646",OLAZABAL AV. 4646,Villa Urquiza,Comuna 12,"2011"
"POINT (-58.4280007331106 -34.6118630659418)","28",Privado,Vivienda,Extensiva modular,"24",,LIBRES,"156",LIBRES 156,Almagro,Comuna 5,"2011"
"POINT (-58.4054933813143 -34.5928003216033)","29",Privado,Vivienda,Extensiva modular,"40",,SANTA FE AV.,"2755",SANTA FE AV. 2755,Recoleta,Comuna 2,"2011"
"POINT (-58.465219697492 -34.5512424248114)","30",Privado,Vivienda,Extensiva modular,"30",,VUELTA DE OBLIGADO,"3248",VUELTA DE OBLIGADO 3248,Nuñez,Comuna 13,"2011"
"POINT (-58.4401461364085 -34.583844953807)","31",Privado,Vivienda,Extensiva modular,"20",,"CARRANZA, ANGEL JUSTINIANO","1522","CARRANZA, ANGEL JUSTINIANO 1522",Palermo,Comuna 14,"2011"
"POINT (-58.4615574834886 -34.5543154729989)","36",Privado,Vivienda,Extensiva modular,"32",,VUELTA DE OBLIGADO,"2841",VUELTA DE OBLIGADO 2841,Nuñez,Comuna 13,"2011"
"POINT (-58.3795366824767 -34.6548348111453)","37",Privado,Centro Metropolitano de Diseño,Extensiva modular,"12",,ALGARROBO,"1041",ALGARROBO 1041,Barracas,Comuna 4,"2011"
"POINT (-58.4623844732072 -34.5463694285387)","38",Privado,Vivienda,Extensiva modular,"15",,3 DE FEBRERO,"3574",3 DE FEBRERO 3574,Nuñez,Comuna 13,"2010"
"POINT (-58.4154104730233 -34.6130673187504)","39",Privado,Vivienda,Extensiva modular,"11",,"YRIGOYEN, HIPOLITO AV.","3441","YRIGOYEN, HIPOLITO AV. 3441",Almagro,Comuna 5,"2010"
"POINT (-58.4415606501546 -34.5803260257484)","40",Privado,Vivienda,Extensiva modular,"20",,DORREGO,"1885",DORREGO 1885,Palermo,Comuna 14,"2010"
"POINT (-58.4422261901326 -34.5653887832893)","41",Privado,Vivienda,Extensiva modular,"10",,"GARCIA, TEODORO","1975","GARCIA, TEODORO 1975",Palermo,Comuna 14,"2010"
"POINT (-58.4229417252886 -34.5769257502084)","42",Privado,Vivienda,Extensiva modular,"30",,JUNCAL,"4551",JUNCAL 4551,Palermo,Comuna 14,"2010"
"POINT (-58.4132383951016 -34.5775397326886)","43",Privado,Vivienda,Extensiva modular,"60",,"SEGUI, JUAN FRANCISCO","3942","SEGUI, JUAN FRANCISCO 3942",Palermo,Comuna 14,"2010"
"POINT (-58.4464344886016 -34.563961284727)","44",Privado,Vivienda,Extensiva modular,"112",,11 DE SEPTIEMBRE DE 1888,"1535",11 DE SEPTIEMBRE DE 1888 1535,Belgrano,Comuna 13,"2010"
"POINT (-58.3881358839256 -34.5964879940906)","45",Privado,Vivienda,Extensiva modular,"40",,PARANA,"1045",PARANA 1045,Recoleta,Comuna 2,"2010"
"POINT (-58.4517205452999 -34.5600346657661)","46",Privado,Vivienda,Extensiva modular,"10",,3 DE FEBRERO,"2034",3 DE FEBRERO 2034,Belgrano,Comuna 13,"2010"
"POINT (-58.4408020661971 -34.5774327190899)","47",Privado,Vivienda,Extensiva modular,"150",,"ARENAL, CONCEPCION","2779","ARENAL, CONCEPCION 2779",Palermo,Comuna 14,"2010"
"POINT (-58.4612492555439 -34.5456887267304)","48",Privado,Vivienda,Extensiva modular,"20",,"LARRALDE, CRISOLOGO AV.","1700","LARRALDE, CRISOLOGO AV. 1700",Nuñez,Comuna 13,"2010"
"POINT (-58.483228770122 -34.5573502562819)","49",Privado,Vivienda,Extensiva modular,"10",,"LARRALDE, CRISOLOGO AV.","4100","LARRALDE, CRISOLOGO AV. 4100",Saavedra,Comuna 12,"2010"
"POINT (-58.3859857664264 -34.5899856997117)","50",Privado,Vivienda,Extensiva modular,"70",,ALVEAR,"1598",ALVEAR 1598,Retiro,Comuna 1,"2009"
"POINT (-58.4093192051603 -34.5823130366044)","51",Privado,Vivienda,Extensiva modular,"20",,LAS HERAS GENERAL AV.,"3515",LAS HERAS GENERAL AV. 3515,Palermo,Comuna 14,"2009"
"POINT (-58.4320882248134 -34.624379636723)","52",Privado,Vivienda,Extensiva modular,"20",,VALLE,"322",VALLE 322,Caballito,Comuna 6,"2009"
"POINT (-58.5195470910566 -34.6316847669481)","53",Privado,Vivienda,Extensiva modular,"20",,ALVAREZ JONTE AV.,"6203",ALVAREZ JONTE AV. 6203,Versalles,Comuna 10,"2009"
"POINT (-58.3918004868126 -34.586575285115)","54",Privado,Vivienda,Extensiva modular,"110",,JUNIN,"1930",JUNIN 1930,Recoleta,Comuna 2,"2009"
"POINT (-58.3903985675014 -34.6032455713971)","55",Privado,Vivienda,Extensiva modular,"59",,LAVALLE,"1672",LAVALLE 1672,San Nicolás,Comuna 1,"2008"
"POINT (-58.4477222566879 -34.562655414675)","56",Privado,Vivienda,Extensiva modular,"10",,"HERNANDEZ, JOSE","1800","HERNANDEZ, JOSE 1800",Belgrano,Comuna 13,"2008"
"POINT (-58.4975351156233 -34.5510578235643)","57",Privado,Vivienda,Extensiva modular,"20",,VALDENEGRO,"4821",VALDENEGRO 4821,Saavedra,Comuna 12,"2008"
"POINT (-58.4497085998676 -34.5674226265916)","58",Privado,Vivienda,Extensiva modular,"10",,"LORETO, VIRREY","2400","LORETO, VIRREY 2400",Belgrano,Comuna 13,"2006"
"POINT (-58.4351076693022 -34.5764339992726)","59",Privado,Vivienda,Extensiva modular,"20",,PARAGUAY,"5600",PARAGUAY 5600,Palermo,Comuna 14,"2006"
"POINT (-58.4198760476402 -34.584389099077)","60",Privado,Vivienda,Extensiva modular,"30",,ARMENIA,"2400",ARMENIA 2400,Palermo,Comuna 14,"2003"
"POINT (-58.4649559405515 -34.5507629860494)","61",Privado,Vivienda,Extensiva modular,"4",,"PEDRAZA, MANUELA","2276","PEDRAZA, MANUELA 2276",Nuñez,Comuna 13,"2002"
"POINT (-58.4489004236374 -34.5555898112555)","63",Privado,Vivienda,Extensiva modular,"10",,DEL LIBERTADOR AV.,"6124",DEL LIBERTADOR AV. 6124,Belgrano,Comuna 13,"2000"
"POINT (-58.443647988656 -34.5872696136393)","64",Privado,Vivienda,Extensiva modular,"32",,"CARRANZA, ANGEL JUSTINIANO","1155","CARRANZA, ANGEL JUSTINIANO 1155",Chacarita,Comuna 15,"2014"
"POINT (-58.4051913228381 -34.5982187915365)","65",Privado,Sanatorio Finochietto,Extensiva modular,"285",,CORDOBA AV.,"2678",CORDOBA AV. 2678,Balvanera,Comuna 3,"2014"
"POINT (-58.3798344305547 -34.6128153377754)","66",Privado,955 Belgrano Office,Extensiva modular,"679",,BELGRANO AV.,"955",BELGRANO AV. 955,Monserrat,Comuna 1,"2014"
"POINT (-58.3800914654999 -34.6128314096397)","67",Privado,Banco Patagonia,Extensiva modular,"221",,BELGRANO AV.,"975",BELGRANO AV. 975,Monserrat,Comuna 1,"2014"
"POINT (-58.4817067346194 -34.5598319737117)","68",Privado,Edificio Tronador / Conjunto de Viviendas,Extensiva e Intensiva,"4350",,TRONADOR,"3402",TRONADOR 3402,Coghlan,Comuna 12,"2004"
"POINT (-58.4319881469813 -34.5821688890811)","69",Privado,Torres Mirabilia/Edificio de Viviendas,Extensiva e Intensiva,"3276",,HUMBOLDT,"2045",HUMBOLDT 2045,Palermo,Comuna 14,"2004"
"POINT (-58.4315845848133 -34.582920478195)","70",Privado,Torre Nicaragua/Edificio de Viviendas,Extensiva e Intensiva,"400",,NICARAGUA,"5500",NICARAGUA 5500,Palermo,Comuna 14,"2007"
"POINT (-58.4496273410527 -34.5651767736796)","71",Privado,Edificio Virrey del Pino/Edificio de Viviendas,Extensiva e Intensiva,"400",,"PINO, VIRREY DEL","2200","PINO, VIRREY DEL 2200",Belgrano,Comuna 13,"2008"
"POINT (-58.4513817563059 -34.5604242454826)","72",Privado,Edificio 3 de Febrero/Edificio de Viviendas,Extensiva e Intensiva,"550",,3 DE FEBRERO,"2000",3 DE FEBRERO 2000,Belgrano,Comuna 13,"2008"
"POINT (-58.4242544561254 -34.5829516634834)","73",Privado,Torre El Cardón / Edificio de Viviendas,Extensiva e Intensiva,"500",,THAMES,"2300",THAMES 2300,Palermo,Comuna 14,"2005"
"POINT (-58.4381977250311 -34.5675103634179)","74",Privado,Edificio En Campos / Edificio de Viviendas,Extensiva,"850",,"CAMPOS, LUIS M. AV.","1000","CAMPOS, LUIS M. AV. 1000",Palermo,Comuna 14,"2006"
"POINT (-58.487777771958 -34.5453295637046)","75",Privado,DOT Shopping / Shopping Comercial,Extensiva e Intensiva,"6500",,VEDIA,"3626",VEDIA 3626,Saavedra,Comuna 12,"2007"
"POINT (-58.4443023269046 -34.577731528054)","76",Privado,Viviendas Matienzo / Edificio de Viviendas.,Extensiva,"108",,"MATIENZO, BENJAMIN, TENIENTE","3000","MATIENZO, BENJAMIN, TENIENTE 3000",Colegiales,Comuna 13,"2007"
"POINT (-58.3597166635892 -34.619356820273)","77",Privado,Madero Harbour / Edificio de Oficinas y Shopping Comercial,Extensiva e Intensiva,"1300",,LANTERI JULIETA,"1775",LANTERI JULIETA 1775,Puerto Madero,Comuna 1,"2009"
"POINT (-58.4466777777443 -34.5471910926648)","78",Privado,UNIVERSIDAD TORCUATO DI TELLA,Extensiva e Intensiva,"1700",,AV. PTE. FIGUEROA ALCORTA,"7350","FIGUEROA ALCORTA, PRES. AV. 7350",Belgrano,Comuna 13,"2016"
"POINT (-58.422022678125 -34.600597057883)","79",Privado,RESIDENCIAL,"HORIZONTAL, ACCESIBLE, INTENSIVO, CON RIEGO","66",,GUARDIA VIEJA,"4090",GUARDIA VIEJA 4090,Almagro,Comuna 5,"2010"
"POINT (-58.3887032872395 -34.5983643959015)","80",Privado,Oficina,"Horizontal, Extensivo, Inaccesible","180",,Paraguay,"1535",PARAGUAY 1535,Recoleta,Comuna 2,"2009"
"POINT (-58.4483228858951 -34.5908910476014)","82",Privado,Oficina,"Horizontal, Extensivo, Accesible","540",,Av. Corrientes,"6277",CORRIENTES AV. 6277,Chacarita,Comuna 15,"2015"
"POINT (-58.4777288347211 -34.5685090955759)","83",Público,CGP 12 - Gobierno de la Ciudad de Buenos Aires,"Horizontal, Intensivo, Accesible","0",,Holmberg,"2548",HOLMBERG 2548,Villa Urquiza,Comuna 12,"2018"
"POINT (-58.4912272206783 -34.6001433915656)","84",Privado,Residencial,Extensiva,"12",,Nazarre,"2917",NAZARRE 2917,Villa Del Parque,Comuna 11,"2013"
"POINT (-58.3714841667356 -34.5984167248974)","85",Privado,BANCO FRANCES BBVA,"INCLINADA, EXTENSIVO, ACCESIBLE, SIN RIEGO","3500",,AV. CORDOBA,,"CORDOBA AV. y ALEM, LEANDRO N. AV.",Retiro,Comuna 1,"2016"
"POINT (-58.406293050886 -34.5896606955291)","86",Privado,RESIDENCIAL,"HORIZONTAL, INTENSIVO, ACCESIBLE, CON RIEGO","1000",,BERUTI,,BERUTI y AUSTRIA,Recoleta,Comuna 2,"2017"
"POINT (-58.4734837459416 -34.5402781887907)","87",Privado,RESIDENCIAL,"HORIZONTAL, EXTENSIVO, INACCESIBLE, SIN RIEGO","2000",,PICO,"2329",PICO 2329,Nuñez,Comuna 13,"2017"
